[200~"id","x_coordinate","y_coordinate","tribe_id","village_id","village_name","player_id","player_name","alliance_id","alliance_tag","population","region","capital","city","harbor","victory_points"
1024,21,198,1,21272,".2.0",416,"Bellota",8,"RYF",109,NULL,False,NULL,NULL,NULL
1025,22,198,1,20466,".1.0",416,"Bellota",8,"RYF",246,NULL,True,NULL,NULL,NULL
1725,-80,196,1,20822,"02 California Condor",2009,"BirdsArentReal",1,"CONS",438,NULL,False,NULL,NULL,NULL
1788,-17,196,2,20808,"ABRACADABRA",2654,"O MALUCO",29,"A3",332,NULL,False,NULL,NULL,NULL
1789,-16,196,3,20756,"001",173,"uNkiii",2,"Sword",199,NULL,True,NULL,NULL,NULL
2160,-46,195,1,21000,"II",2673,"CALIGULA",29,"A3",268,NULL,False,NULL,NULL,NULL
2258,52,195,1,20455,"GoGoGo",113,"Las potaxies",8,"RYF",371,NULL,True,NULL,NULL,NULL
2673,66,194,3,20735,"Ave Siempre Viva",424,"Burbuja",8,"RYF",182,NULL,True,NULL,NULL,NULL
3312,-97,192,1,20172,"01 Bald Eagle",2009,"BirdsArentReal",1,"CONS",539,NULL,True,NULL,NULL,NULL
3455,46,192,1,20469,"02.Xlitoriclan",291,"Bombom",8,"RYF",306,NULL,True,NULL,NULL,NULL
3634,-176,191,3,20467,"PolishedObsidianVan",657,"ShadowStateSUV",1,"CONS",376,NULL,True,NULL,NULL,NULL
3635,-175,191,3,21441,"MattInklikeLFa",657,"ShadowStateSUV",1,"CONS",100,NULL,False,NULL,NULL,NULL
3713,-97,191,1,21291,"03 Peregrine Falcon",2009,"BirdsArentReal",1,"CONS",432,NULL,False,NULL,NULL,NULL
3881,71,191,3,20495,"Los Tocayos",472,"Liverpool Prime",8,"RYF",308,NULL,True,NULL,NULL,NULL
3897,87,191,1,20524,"01",1115,"Locvs",8,"RYF",190,NULL,False,NULL,NULL,NULL
3927,117,191,1,21002,"Alfonso él grande",2007,"Picaro 20000",48,"Ja",132,NULL,False,NULL,NULL,NULL
4265,54,190,1,21377,"La puchaina maldita",113,"Las potaxies",8,"RYF",126,NULL,False,NULL,NULL,NULL
4495,-117,189,3,20689,"Viltė",324,"Germany",1,"CONS",298,NULL,False,NULL,NULL,NULL
4541,-71,189,1,20482,"01 Diving Headbutt",145,"BenoitWasFramed",36,"huhu",252,NULL,True,NULL,NULL,NULL
4981,-32,188,3,20726,"Machination",1066,"Flat Earth",1,"CONS",81,NULL,False,NULL,NULL,NULL
5128,115,188,2,20539,"02.- Anonymous",1100,"anonymous",8,"RYF",297,NULL,True,NULL,NULL,NULL
5129,116,188,2,21507,"03.- Anonymous",1100,"anonymous",8,"RYF",43,NULL,False,NULL,NULL,NULL
5331,-83,187,3,21363,"[02] Zinger Box",1813,"Pluggle",1,"CONS",179,NULL,False,NULL,NULL,NULL
5947,132,186,2,21403,"03. Helms Deep",295,"King Theoden",6,"LOTR",289,NULL,False,NULL,NULL,NULL
6783,166,184,1,20619,"01 JUPITER",112,"LORDIS",8,"RYF",171,NULL,False,NULL,NULL,NULL
7854,34,181,1,21292,"Aldea nueva",245,"Cocotuerto",8,"RYF",47,NULL,False,NULL,NULL,NULL
8107,-114,180,3,21457,"b",1260,"barachev",60,"LGFy",11,NULL,False,NULL,NULL,NULL
8138,-83,180,3,20517,"[01] Lochie is Real",1813,"Pluggle",1,"CONS",369,NULL,True,NULL,NULL,NULL
8485,-137,179,3,21243,"02",367,"Area 51",1,"CONS",318,NULL,False,NULL,NULL,NULL
8486,-136,179,3,20445,"01",367,"Area 51",1,"CONS",349,NULL,True,NULL,NULL,NULL
9126,103,178,1,21482,"02 - EndlesslySad",1822,"WonderWoman",1,"CONS",109,NULL,False,NULL,NULL,NULL
